state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2822,RESIDENTIAL,12,129.7,12,129.7,0,0.0,0.0,0,0.0
NSW,2821,BUSINESS,36,633.4,36,613.4,1,20.0,20.0,0,0.0
NSW,2821,RESIDENTIAL,708,3143.8,708,3138.8,1,5.0,6.0,0,0.0
NSW,2820,BUSINESS,30,405.3,30,405.3,0,0.0,0.0,0,0.0
NSW,2820,RESIDENTIAL,564,2379.8,564,2335.8,8,44.0,119.0,0,0.0
NSW,2818,RESIDENTIAL,122,536.0,122,531.0,1,5.0,10.0,0,0.0
NSW,2810,BUSINESS,20,308.9,20,308.9,0,0.0,0.0,0,0.0
NSW,2810,RESIDENTIAL,315,1492.0,315,1464.0,5,28.0,60.0,0,0.0
NSW,2809,RESIDENTIAL,20,105.1,20,105.1,0,0.0,0.0,0,0.0
NSW,2808,RESIDENTIAL,15,69.2,15,69.2,0,0.0,0.0,0,0.0
NSW,2807,RESIDENTIAL,57,239.0,57,239.0,0,0.0,0.0,0,0.0
NSW,2806,RESIDENTIAL,90,475.5,90,471.5,1,4.0,13.0,0,0.0
NSW,2805,RESIDENTIAL,37,142.3,37,142.3,0,0.0,0.0,0,0.0
NSW,2804,BUSINESS,24,229.7,24,229.7,0,0.0,0.0,0,0.0
NSW,2804,RESIDENTIAL,305,1302.3,305,1292.3,2,10.0,10.0,0,0.0
NSW,2803,RESIDENTIAL,48,240.4,48,240.4,0,0.0,0.0,0,0.0
NSW,2800,BUSINESS,212,3962.6,212,3957.6,1,5.0,5.0,0,0.0
NSW,2800,RESIDENTIAL,3293,15770.96,3293,15490.16,56,280.8,546.0,0,0.0
NSW,2799,BUSINESS,22,321.2,22,321.2,0,0.0,0.0,0,0.0
NSW,2799,RESIDENTIAL,261,1252.1,261,1225.1,6,27.0,47.0,0,0.0
NSW,2798,RESIDENTIAL,220,1127.3,220,1104.3,4,23.0,69.0,0,0.0
