state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
VIC,3027,BUSINESS,45,330.1,45,330.1,0,0,0,0,0
VIC,3254,RESIDENTIAL,45,179.6,45,179.6,0,0,0,0,0
VIC,3334,RESIDENTIAL,45,188.3,45,188.3,0,0,0,0,0
VIC,3384,RESIDENTIAL,45,180.1,45,180.1,0,0,0,0,0
VIC,3393,BUSINESS,45,522.24,45,522.24,0,0,0,0,0
VIC,3522,RESIDENTIAL,45,184.3,45,184.3,0,0,0,0,0
VIC,3634,BUSINESS,45,492.4,45,492.4,0,0,0,0,0
VIC,3028,BUSINESS,46,1280.4,46,1280.4,0,0,0,0,0
VIC,3437,BUSINESS,46,807.4,46,807.4,0,0,0,0,0
VIC,3562,RESIDENTIAL,46,229.7,46,229.7,0,0,0,0,0
VIC,3581,RESIDENTIAL,46,186,46,186,0,0,0,0,0
VIC,3685,BUSINESS,46,659.4,46,659.4,0,0,0,0,0
VIC,3707,BUSINESS,46,642.2,46,642.2,0,0,0,0,0
VIC,3821,BUSINESS,46,369.8,45,363.3,1,6.5,6.5,0,0
VIC,3896,RESIDENTIAL,46,176.8,46,176.8,0,0,0,0,0
VIC,3979,RESIDENTIAL,46,260.6,45,247.4,1,13.2,13.2,0,0
VIC,3000,BUSINESS,47,5346,38,1270.6,0,0,0,9,4075.4
VIC,3053,BUSINESS,47,1958.9,45,1314.5,0,0,0,2,644.4
VIC,3070,BUSINESS,47,700,46,580,0,0,0,1,120
