state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
VIC,3512,BUSINESS,12,113,12,113,0,0,0,0,0
VIC,3544,BUSINESS,12,78.4,12,78.4,0,0,0,0,0
VIC,3599,RESIDENTIAL,12,51,12,51,0,0,0,0,0
VIC,3887,BUSINESS,12,139.3,11,114.3,2,25,28.1,0,0
VIC,3977,(blank),12,381.4,12,381.4,0,0,0,0,0
VIC,3991,BUSINESS,12,108.6,11,95.1,1,13.5,13.5,0,0
ACT,2904,BUSINESS,13,246.7,13,246.7,0,0,0,0,0
NSW,2022,BUSINESS,13,309.8,13,309.8,0,0,0,0,0
NSW,2027,BUSINESS,13,230.4,13,230.4,0,0,0,0,0
NSW,2034,BUSINESS,13,151.9,13,151.9,0,0,0,0,0
NSW,2048,BUSINESS,13,373.9,13,373.9,0,0,0,0,0
NSW,2119,BUSINESS,13,131.7,13,131.7,0,0,0,0,0
NSW,2227,BUSINESS,13,209.9,13,209.9,0,0,0,0,0
NSW,2439,BUSINESS,13,184.9,13,171.9,1,13,7,0,0
NSW,2471,BUSINESS,13,121,13,121,0,0,0,0,0
NSW,2658,BUSINESS,13,167.4,13,167.4,0,0,0,0,0
NSW,2702,BUSINESS,13,92.1,13,92.1,0,0,0,0,0
NSW,2706,BUSINESS,13,997.5,13,997.5,0,0,0,0,0
NSW,2730,BUSINESS,13,245.5,13,245.5,0,0,0,0,0
NSW,2738,BUSINESS,13,201.9,13,191.9,1,10,43,0,0
NSW,2749,BUSINESS,13,144.6,13,144.6,0,0,0,0,0
NSW,2844,BUSINESS,13,124.8,13,124.8,0,0,0,0,0
NSW,2848,BUSINESS,13,116,13,116,0,0,0,0,0
QLD,2406,RESIDENTIAL,13,56.6,13,56.6,0,0,0,0,0
QLD,4164,(blank),13,96.3,13,91.3,1,5,11,0,0
QLD,4215,(blank),13,91,13,91,0,0,0,0,0
QLD,4216,(blank),13,129.6,13,129.6,0,0,0,0,0
QLD,4220,(blank),13,92.7,13,92.7,0,0,0,0,0
QLD,4491,RESIDENTIAL,13,74.6,13,74.6,0,0,0,0,0
QLD,4580,(blank),13,119.5,13,99.9,2,19.6,25,0,0
QLD,4726,BUSINESS,13,106,13,106,0,0,0,0,0
QLD,4746,BUSINESS,13,26267.2,13,26267.2,0,0,0,0,0
SA,5012,(blank),13,86.2,12,81.2,1,5,14,0,0
SA,5023,(blank),13,188,13,158,3,30,34.8,0,0
SA,5043,(blank),13,145.1,13,105.1,4,40,46.4,0,0
SA,5098,(blank),13,128.3,13,88.3,5,40,44.9,0,0
SA,5155,BUSINESS,13,162.2,13,162.2,0,0,0,0,0
SA,5306,RESIDENTIAL,13,76.2,13,71.2,1,5,6.5,0,0
SA,5432,BUSINESS,13,61,13,61,0,0,0,0,0
SA,5472,BUSINESS,13,100.8,12,95.8,1,5,14,0,0
SA,5710,BUSINESS,13,171.8,13,171.8,0,0,0,0,0
VIC,3115,BUSINESS,13,173.255,13,173.255,0,0,0,0,0
VIC,3154,BUSINESS,13,197.785,13,197.785,0,0,0,0,0
VIC,3158,BUSINESS,13,226.93,13,226.93,0,0,0,0,0
VIC,3183,BUSINESS,13,336.4,13,336.4,0,0,0,0,0
VIC,3211,BUSINESS,13,282.5,13,282.5,0,0,0,0,0
VIC,3226,(blank),13,210.2,12,190.2,3,20,36.4,0,0
VIC,3232,BUSINESS,13,160.3,13,160.3,0,0,0,0,0
VIC,3235,BUSINESS,13,93.49,12,88.49,1,5,14,0,0
VIC,3293,BUSINESS,13,74.8,13,74.8,0,0,0,0,0
VIC,3345,BUSINESS,13,102.34,13,102.34,0,0,0,0,0
VIC,3371,BUSINESS,13,89.1,13,89.1,0,0,0,0,0
VIC,3384,BUSINESS,13,67.46,13,67.46,0,0,0,0,0
VIC,3475,BUSINESS,13,71.3,13,71.3,0,0,0,0,0
VIC,3550,(blank),13,5231.3,13,5231.3,0,0,0,0,0
VIC,3596,RESIDENTIAL,13,134.8,13,134.8,0,0,0,0,0
VIC,3607,BUSINESS,13,847.26,12,842.26,1,5,13.5,0,0
VIC,3698,BUSINESS,13,168.44,13,168.44,0,0,0,0,0
VIC,3733,BUSINESS,13,313.2,13,313.2,0,0,0,0,0
VIC,3735,BUSINESS,13,193.64,13,193.64,0,0,0,0,0
VIC,3779,BUSINESS,13,262.58,13,262.58,0,0,0,0,0
VIC,3942,BUSINESS,13,131.3,13,131.3,0,0,0,0,0
VIC,3944,BUSINESS,13,212.2,11,207.2,2,5,14,0,0
VIC,3992,BUSINESS,13,158.88,13,158.88,0,0,0,0,0
ACT,2914,BUSINESS,14,554,14,554,0,0,0,0,0
NSW,2007,RESIDENTIAL,14,52.7,14,52.7,0,0,0,0,0
NSW,2197,BUSINESS,14,1514.7,14,1514.7,0,0,0,0,0
NSW,2206,BUSINESS,14,189.4,14,189.4,0,0,0,0,0
NSW,2213,BUSINESS,14,336.4,14,336.4,0,0,0,0,0
NSW,2224,BUSINESS,14,283.9,14,283.9,0,0,0,0,0
NSW,2231,BUSINESS,14,212.2,14,212.2,0,0,0,0,0
NSW,2346,BUSINESS,14,213.6,14,213.6,0,0,0,0,0
NSW,2347,BUSINESS,14,129,14,129,0,0,0,0,0
NSW,2396,BUSINESS,14,85.6,14,85.6,0,0,0,0,0
NSW,2469,BUSINESS,14,107.2,14,107.2,0,0,0,0,0
NSW,2472,BUSINESS,14,109,14,109,0,0,0,0,0
NSW,2534,BUSINESS,14,113.5,14,113.5,0,0,0,0,0
NSW,2748,BUSINESS,14,342.5,14,342.5,0,0,0,0,0
NSW,2767,BUSINESS,14,282.5,14,282.5,0,0,0,0,0
NSW,2774,BUSINESS,14,78.3,14,78.3,0,0,0,0,0
NSW,2873,BUSINESS,14,134.7,14,134.7,0,0,0,0,0
QLD,4032,(blank),14,134.1,14,134.1,0,0,0,0,0
QLD,4111,BUSINESS,14,1502.4,14,1502.4,0,0,0,0,0
QLD,4121,(blank),14,135.6,14,135.6,0,0,0,0,0
QLD,4122,(blank),14,144.4,14,144.4,0,0,0,0,0
QLD,4160,(blank),14,104.5,14,104.5,0,0,0,0,0
QLD,4174,(blank),14,132.5,14,111.5,2,21,15.6,0,0
QLD,4303,BUSINESS,14,248.2,14,248.2,0,0,0,0,0
QLD,4346,BUSINESS,14,151.2,14,151.2,0,0,0,0,0
QLD,4387,BUSINESS,14,144.5,14,144.5,0,0,0,0,0
QLD,4558,(blank),14,99.1,14,99.1,0,0,0,0,0
QLD,4699,BUSINESS,14,84.9,13,79.9,1,5,13.5,0,0
