state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2050,RESIDENTIAL,90,313.7,87,283.4,7,30.3,72.6,0,0.0
NSW,2060,BUSINESS,23,427.2,23,427.2,0,0.0,0.0,0,0.0
NSW,2060,RESIDENTIAL,135,609.3,134,561.5,9,47.9,92.7,0,0.0
NSW,2061,RESIDENTIAL,13,57.4,13,46.4,2,11.0,23.8,0,0.0
NSW,2062,RESIDENTIAL,128,588.5,126,536.5,10,52.0,91.7,0,0.0
NSW,2063,RESIDENTIAL,319,1805.3,310,1683.0,17,122.2,179.0,0,0.0
NSW,2064,BUSINESS,62,1677.9,62,1669.2,1,8.6,7.4,0,0.0
NSW,2064,RESIDENTIAL,169,840.8,167,785.0,12,55.8,124.5,0,0.0
NSW,2065,BUSINESS,39,871.4,39,871.4,0,0.0,0.0,0,0.0
NSW,2065,RESIDENTIAL,491,2137.4,488,2022.8,21,114.6,174.7,0,0.0
NSW,2066,BUSINESS,48,920.8,48,920.8,0,0.0,0.0,0,0.0
NSW,2066,RESIDENTIAL,1039,5176.84,1031,4811.04,63,365.8,582.9,0,0.0
NSW,2067,BUSINESS,36,966.8,36,966.8,0,0.0,0.0,0,0.0
NSW,2067,RESIDENTIAL,548,2375.9,542,2243.0,22,132.8,218.2,0,0.0
NSW,2068,BUSINESS,23,541.1,22,368.1,0,0.0,0.0,1,173.0
NSW,2068,RESIDENTIAL,733,3801.8,724,3521.9,40,279.8,391.8,0,0.0
NSW,2069,BUSINESS,17,316.0,17,316.0,0,0.0,0.0,0,0.0
NSW,2069,RESIDENTIAL,599,3150.4,594,2943.3,30,207.0,294.0,0,0.0
NSW,2070,BUSINESS,11,108.1,11,102.7,1,5.4,5.0,0,0.0
NSW,2070,RESIDENTIAL,581,3298.48,572,2983.58,44,315.0,388.9,0,0.0
NSW,2071,RESIDENTIAL,488,2821.6,485,2692.6,18,129.1,237.7,0,0.0
NSW,2072,RESIDENTIAL,209,1208.2,209,1137.7,10,70.6,115.4,0,0.0
NSW,2073,BUSINESS,24,762.0,23,757.0,1,5.0,14.0,0,0.0
NSW,2073,RESIDENTIAL,689,3846.11,682,3641.41,30,204.8,297.5,0,0.0
NSW,2074,BUSINESS,22,412.7,22,412.7,0,0.0,0.0,0,0.0
NSW,2074,RESIDENTIAL,1050,5401.81,1042,5089.01,50,312.8,496.9,0,0.0
NSW,2075,BUSINESS,14,328.6,14,321.1,1,7.5,14.0,0,0.0
NSW,2075,RESIDENTIAL,860,4834.81,853,4566.81,44,268.0,430.9,0,0.0
NSW,2076,BUSINESS,20,806.0,20,806.0,0,0.0,0.0,0,0.0
NSW,2076,RESIDENTIAL,972,4759.36,960,4523.26,32,236.2,348.6,0,0.0
NSW,2077,BUSINESS,55,1255.1,55,1231.1,3,24.0,26.5,0,0.0
NSW,2077,RESIDENTIAL,1255,5670.5,1247,5516.5,27,154.1,255.1,0,0.0
NSW,2079,RESIDENTIAL,442,1990.5,439,1927.9,10,62.6,139.3,0,0.0
NSW,2080,BUSINESS,16,333.1,16,333.1,0,0.0,0.0,0,0.0
NSW,2080,RESIDENTIAL,118,529.2,118,524.0,1,5.2,6.2,0,0.0
NSW,2081,RESIDENTIAL,421,1776.8,418,1698.1,12,78.7,114.3,0,0.0
NSW,2082,RESIDENTIAL,397,1882.8,394,1823.9,8,58.9,105.5,0,0.0
NSW,2083,BUSINESS,14,156.1,14,156.1,0,0.0,0.0,0,0.0
NSW,2083,RESIDENTIAL,150,755.2,150,712.2,6,43.0,51.2,0,0.0
NSW,2084,BUSINESS,15,324.5,15,324.5,0,0.0,0.0,0,0.0
NSW,2084,RESIDENTIAL,228,1520.1,226,1286.8,26,233.5,255.7,0,0.0
NSW,2085,BUSINESS,19,453.6,19,453.6,0,0.0,0.0,0,0.0
NSW,2085,RESIDENTIAL,771,3349.82,764,3230.52,22,119.3,217.7,0,0.0
NSW,2086,BUSINESS,17,483.1,17,478.1,1,5.0,13.5,0,0.0
NSW,2086,RESIDENTIAL,752,3402.7,748,3251.1,27,151.6,231.4,0,0.0
NSW,2087,BUSINESS,10,274.3,10,274.3,0,0.0,0.0,0,0.0
NSW,2087,RESIDENTIAL,731,3368.1,725,3242.7,22,125.4,205.2,0,0.0
NSW,2088,BUSINESS,24,365.0,24,360.0,1,5.0,13.5,0,0.0
NSW,2088,RESIDENTIAL,666,3840.115,657,3488.915,50,351.1,549.8,0,0.0
NSW,2089,RESIDENTIAL,71,382.9,70,335.9,8,47.0,89.9,0,0.0
NSW,2090,RESIDENTIAL,179,810.85,177,748.95,11,61.9,95.8,0,0.0
NSW,2092,BUSINESS,12,284.4,12,284.4,0,0.0,0.0,0,0.0
NSW,2092,RESIDENTIAL,365,1941.360001,359,1812.760001,23,128.6,203.1,0,0.0
NSW,2093,BUSINESS,25,703.67,25,678.67,2,25.0,16.7,0,0.0
NSW,2093,RESIDENTIAL,871,4363.3,864,4097.1,41,266.3,413.8,0,0.0
NSW,2094,RESIDENTIAL,159,728.1,156,637.6,16,90.6,182.1,0,0.0
