state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
VIC,3380,RESIDENTIAL,696,3617.43,692,3476.13,16,141.4,177.8,0,0
VIC,3977,BUSINESS,710,9334.54,706,9294.84,6,39.7,52.4,0,0
VIC,3741,RESIDENTIAL,715,3819.02,706,3712.42,12,106.5,124,0,0
VIC,3179,RESIDENTIAL,719,3767.645,709,3687.445,18,80.3,147.9,0,0
VIC,3401,RESIDENTIAL,722,4486.12,719,4328.72,13,157.6,153.8,0,0
VIC,3190,RESIDENTIAL,723,3911.1,708,3805.5,24,105.6,178.1,0,0
VIC,3431,RESIDENTIAL,723,4273.998,716,4167.998,17,106,212.2,0,0
VIC,3824,RESIDENTIAL,723,3574.8,708,3481.3,16,93.4,8283.9,0,0
VIC,3765,RESIDENTIAL,728,3768.285,714,3695.485,14,72.8,102.9,0,0
VIC,3971,RESIDENTIAL,734,3325.823,720,3244.823,15,81,128.1,0,0
VIC,3213,RESIDENTIAL,751,4877.2,742,4692,25,185.2,284.7,0,0
VIC,3230,RESIDENTIAL,757,4204.745,729,3852.695,55,334.6,696.4,3,17.25
VIC,3168,RESIDENTIAL,772,3901.9,765,3800,19,102,156.6,0,0
VIC,3799,RESIDENTIAL,772,3894.29,764,3829.19,10,65.2,87.7,0,0
VIC,3122,RESIDENTIAL,775,5298.51,766,5052.41,36,246.2,460.3,0,0
VIC,3561,RESIDENTIAL,777,4251.5,772,4161.3,13,90.2,148.2,0,0
VIC,3981,RESIDENTIAL,781,4270.615,769,4140.515,16,130.1,141.54,0,0
VIC,3950,RESIDENTIAL,799,3847.07,785,3749.88,16,97.19,151.7,0,0
VIC,3737,RESIDENTIAL,805,4412.235,800,4357.635,6,54.6,68.5,0,0
VIC,3087,RESIDENTIAL,807,3987.685,790,3859.085,20,128.6,143.4,0,0
VIC,3505,RESIDENTIAL,825,5134.1,824,5124.5,2,9.6,16,0,0
VIC,3034,RESIDENTIAL,828,4407.317,814,4285.217,18,122,205.8,0,0
VIC,3039,RESIDENTIAL,829,4267.913,800,4016.513,41,251.3,478.6,0,0
VIC,3031,RESIDENTIAL,831,3860.173,817,3747.773,22,112.4,216.4,0,0
VIC,3167,RESIDENTIAL,834,4274.3,820,4153.4,23,121,237.8,0,0
VIC,3956,RESIDENTIAL,840,3977.18,829,3878.58,13,98.6,140.5,0,0
VIC,3094,RESIDENTIAL,841,4368.545,822,4286.845,20,81.7,159.2,0,0
VIC,3523,RESIDENTIAL,846,4274.15,842,4158.45,19,115.7,251.2,0,0
VIC,3049,RESIDENTIAL,854,4610.903,840,4529.903,18,81,165.6,0,0
VIC,3427,RESIDENTIAL,857,12480.935,837,12266.235,36,214.7,384.6,0,0
VIC,3753,RESIDENTIAL,857,6024.443,851,5948.543,8,75.9,68.9,0,0
