,POA 2021 Code,POA 2021 Area (km2),MMM 2023,MMM 2023 Area in POA 2021 (km2)
,2388,6699.0871,6,2838.1
,2390,4217.1072,4,180.4
,2390,4217.1072,5,4036.7
,2395,1113.5695,5,1113.6
,2396,1826.7503,5,433.1
,2396,1826.7503,6,1393.6
,2397,1694.9079,5,1021.6
,2397,1694.9079,6,673.3
,2398,953.5519,5,953.6
,2399,806.3754,5,806.4
,2400,7569.0088,4,420.1
,2400,7569.0088,5,3393.2
,2400,7569.0088,6,3755.7
,2401,652.7933,5,652.8
,2402,1631.0064,5,1631.0
,2403,1006.9407,5,1006.9
,2404,1992.4546,5,1992.5
,2405,3418.239,6,3418.2
,2406,3283.9561,6,3284.0
,2408,1561.154,5,1561.2
,2409,1607.1651,4,4.2
,2409,1607.1651,5,1602.9
,2410,1530.5927,5,1530.6
,2411,396.9284,5,396.9
,2415,451.8325,5,451.8
,2420,1023.5128,2,33.7
,2420,1023.5128,5,989.8
,2421,244.7457,2,97.6
,2421,244.7457,5,147.2
,2422,3212.5916,5,3212.6
,2423,1346.2284,5,1346.2
,2424,881.6889,5,881.7
,2425,518.0099,5,518.0
,2426,71.3349,3,36.0
,2426,71.3349,5,35.3
,2427,39.8682,5,39.9
,2428,320.9401,3,87.0
,2428,320.9401,5,234.0
,2429,1799.9008,3,188.9
,2429,1799.9008,5,1611.0
,2430,843.4816,3,513.7
,2430,843.4816,5,329.8
,2431,45.9673,4,46.0
,2439,362.4229,4,120.0
,2439,362.4229,5,242.4
,2440,3604.2396,4,263.3
,2440,3604.2396,5,3341.0
,2441,992.7849,4,126.9
,2441,992.7849,5,865.9
,2443,312.5374,4,65.7
,2443,312.5374,5,246.9
,2444,222.4491,3,83.7
,2444,222.4491,5,138.7
,2445,76.8106,3,22.2
,2445,76.8106,4,54.7
,2446,2233.1607,3,150.6
,2446,2233.1607,4,54.2
,2446,2233.1607,5,2028.3
,2447,566.6442,4,65.2
,2447,566.6442,5,501.5
,2448,115.0676,4,106.4
,2448,115.0676,5,8.7
,2449,570.7344,4,7.3
,2449,570.7344,5,563.5
,2450,1019.718,3,482.7
,2450,1019.718,5,537.0
,2450,1019.718,6,0.0
,2452,12.7764,3,12.8
,2453,2157.9951,5,2158.0
,2454,975.6046,3,71.2
,2454,975.6046,5,904.5
,2455,48.0551,5,48.1
,2456,205.4443,3,37.5
,2456,205.4443,4,57.0
,2456,205.4443,5,110.9
,2456,205.4443,6,0.1
,2460,6630.3495,3,689.0
,2460,6630.3495,5,5941.2
,2460,6630.3495,7,0.2
,2462,470.532,3,1.3
,2462,470.532,5,469.2
,2463,549.2925,4,34.8
,2463,549.2925,5,514.5
,2464,102.8533,4,34.7
,2464,102.8533,5,68.1
,2465,23.5903,5,23.6
,2466,14.3561,5,14.4
,2469,3813.3747,5,3813.4
,2470,1256.5159,3,5.2
,2470,1256.5159,4,193.6
,2470,1256.5159,5,1057.7
,2471,442.1506,3,15.4
,2471,442.1506,4,24.8
,2471,442.1506,5,402.0
,2472,466.4076,5,466.4
,2473,31.366,5,31.4
,2474,1537.5939,5,1537.6
,2475,494.7232,5,494.7
,2476,805.3354,5,805.3
,2477,227.642,3,128.8
,2477,227.642,5,98.8
,2478,185.6804,3,156.5
,2478,185.6804,5,29.2
,2479,164.5709,3,24.6
,2479,164.5709,4,85.8
,2479,164.5709,5,54.2
,2480,1369.4565,3,669.0
,2480,1369.4565,4,15.3
,2480,1369.4565,5,685.2
,2481,131.029,3,9.6
,2481,131.029,4,89.1
,2481,131.029,5,32.3
,2482,180.2681,5,180.3
,2483,182.7314,2,53.2
,2483,182.7314,4,2.3
,2483,182.7314,5,127.2
,2484,972.2983,1,10.6
,2484,972.2983,2,214.8
,2484,972.2983,4,115.1
,2484,972.2983,5,631.8
,2485,13.73,1,13.7
,2486,100.3781,1,74.4
,2486,100.3781,2,25.9
,2487,66.6066,1,38.4
,2487,66.6066,2,28.2
,2488,13.626,1,13.6
,2489,14.5419,1,10.8
,2489,14.5419,2,3.7
,2490,22.4375,1,14.2
,2490,22.4375,2,8.2
,2500,27.1582,1,26.2
,2500,27.1582,2,1.0
,2502,9.1601,1,9.2
,2505,13.8266,1,13.8
,2506,7.3207,1,7.3
,2508,162.241,1,17.8
,2508,162.241,2,144.4
,2515,14.2268,1,14.2
,2516,8.6615,1,6.8
,2516,8.6615,2,1.9
,2517,9.0099,1,9.0
,2518,12.7193,1,12.7
,2519,9.2816,1,9.3
,2525,8.5595,1,8.6
,2526,132.2947,1,39.6
,2526,132.2947,2,92.7
,2527,96.0646,1,16.6
,2527,96.0646,2,74.6
,2527,96.0646,5,4.9
,2528,11.2805,1,11.3
,2529,40.4513,1,23.5
,2529,40.4513,2,16.9
,2530,88.3672,1,56.4
,2530,88.3672,2,32.0
,2533,106.4039,2,106.4
,2534,76.2287,2,17.7
,2534,76.2287,5,58.5
,2535,247.9753,2,40.5
,2535,247.9753,3,76.0
,2535,247.9753,5,131.5
,2536,974.8377,4,348.8
,2536,974.8377,5,625.9
,2536,974.8377,6,0.1
,2537,1167.0234,4,3.9
,2537,1167.0234,5,1163.1
,2538,390.494,4,71.0
,2538,390.494,5,319.5
,2539,686.0289,4,80.2
,2539,686.0289,5,605.9
,2540,1900.6655,3,650.7
,2540,1900.6655,4,218.2
,2540,1900.6655,5,1031.7
,2541,45.432,3,45.4
,2545,876.5468,5,876.5
,2546,911.2673,5,911.3
,2548,120.1179,4,99.7
,2548,120.1179,5,20.5
,2549,222.9511,4,43.3
,2549,222.9511,5,179.7
,2550,3966.6591,5,3966.7
,2551,1397.7681,5,1397.8
