,Year,Lga,PenTotal,CPDTotal,CPCTotal,GrowthTotal,PenBattery,CPDBattery,CPCBattery,GrowthBattery,PenSolar,CPDSolar,CPCSolar,GrowthSolar,PenOther,CPDOther,CPCOther,GrowthOther,BSR
1264,2023,45290.0,1.5346647646219687,31.51654893009986,20.53643874326083,36436.5162,0.03252496433666191,0.48176890156918684,14.812280701754386,990.7599999999998,1.5075606276747504,26.19052895863053,17.372786525359576,24097.99619999999,0.007703281027104137,4.8445078459343796,628.8888888888889,11348.0,0.02157456472369417
1265,2024,45290.0,1.5632842334969994,33.01639498090562,21.119892514395396,36436.5162,0.03900709219858156,0.544899072558647,13.96923076923077,990.7599999999998,1.5321876704855428,27.93273431533006,18.230622040235,24097.99619999999,0.0070921985815602835,4.539007092198582,640.0,11348.0,0.02545842976677942
1266,2021,45340.0,1.0790697674418606,22.24863277447269,20.618345028067363,36912.112399999976,0.012547322877230935,0.13754461871281773,10.96206896551724,1430.2599999999998,1.0717144402379664,22.11108815575987,20.6315109002826,27868.63239999998,0.0,0.0,0.0,7613.999999999999,0.011707710940654016
1267,2022,45340.0,1.236028659160696,25.31191381780962,20.478419841006957,36912.112399999976,0.018219037871033777,0.2003480040941658,10.996629213483146,1430.2599999999998,1.2259979529170932,25.11162722620266,20.482601268993154,27868.63239999998,0.00040941658137154553,0.0,0.0,7613.999999999999,0.014860577725830689
1268,2023,45340.0,1.2760416666666667,30.951674479166666,24.256006122448976,36912.112399999976,0.023637820512820512,0.25174278846153847,10.65,1430.2599999999998,1.2596153846153846,28.157924479166667,22.354382792620864,27868.63239999998,0.002403846153846154,2.5420673076923075,1057.5,7613.999999999999,0.018765903307888042
1269,2024,45340.0,1.2780430757236136,30.031602962674203,23.49811483910325,36912.112399999976,0.02962674203294026,0.5704902056329793,19.255921052631578,1430.2599999999998,1.2569924958581036,27.81240405418575,22.126149635602417,27868.63239999998,0.0017542149887925153,1.6489620894649644,940.0,7613.999999999999,0.02356954566599473
1270,2021,45400.0,6.807017543859649,56.211345029239766,8.257852233676976,613.078,0.03508771929824561,0.17543859649122806,5.0,30.11999999999999,6.795321637426901,56.03590643274853,8.246247848537005,582.958,0.0,0.0,0.0,0.0,0.0051635111876075735
1271,2022,45400.0,6.971098265895954,60.84739884393064,8.728524046434494,613.078,0.057803468208092484,0.4046242774566474,7.0,30.11999999999999,6.9479768786127165,60.44277456647399,8.699334442595674,582.958,0.0,0.0,0.0,0.0,0.008319467554076539
1272,2023,45400.0,7.397590361445783,65.55180722891566,8.861237785016288,613.078,0.0963855421686747,0.6530120481927711,6.775,30.11999999999999,7.36144578313253,64.8987951807229,8.816039279869068,582.958,0.0,0.0,0.0,0.0,0.01309328968903437
1273,2024,45400.0,7.888198757763975,71.66086956521738,9.084566929133858,613.078,0.11180124223602485,0.7304347826086957,6.533333333333333,30.11999999999999,7.850931677018633,70.93043478260869,9.034651898734177,582.958,0.0,0.0,0.0,0.0,0.014240506329113924
1274,2021,45540.0,12.633333333333333,127.74833333333335,10.112005277044856,1219.9099999999994,0.18333333333333332,1.5833333333333333,8.636363636363637,111.36,12.583333333333334,126.165,10.02635761589404,1108.5499999999995,0.0,0.0,0.0,0.0,0.01456953642384106
1275,2022,45540.0,12.821705426356589,131.80542635658915,10.279866989117293,1219.9099999999994,0.18604651162790697,1.8604651162790697,10.0,111.36,12.821705426356589,129.94496124031008,10.134764207980654,1108.5499999999995,0.0,0.0,0.0,0.0,0.014510278113663845
1276,2023,45540.0,13.612903225806452,142.80241935483872,10.490225118483412,1219.9099999999994,0.3548387096774194,3.174193548387097,8.945454545454545,111.36,13.612903225806452,139.62822580645164,10.257049763033177,1108.5499999999995,0.0,0.0,0.0,0.0,0.026066350710900472
