,Year,Lga,Type,TotalCapacity,BatteryCapacity,SolarCapacity,OtherCapacity,TotalDerConnections,BatteryConnections,SolarConnections,OtherConnections,TotalPopulation,PopulationDensity,MedianAge,MedianEquivalisedHouseholdIncome,Certificate,AdvDiploma,BachelorDegree,GraduateDiploma,Postgraduate,TotalDwelling
1287,2022,46090.0,RESIDENTIAL,113233.154,4412.400000000001,108821.954,0.0,21050.0,728.0,20578.0,0.0,14449.0,12.5,38.2,860.0,23.0,5.8,6.5,1.2,1.8,6227.0
1288,2023,46090.0,RESIDENTIAL,119084.344,5137.400000000001,113947.544,0.0,21814.0,868.0,21228.0,0.0,14422.0,12.5,38.5,860.0,23.0,5.8,6.5,1.2,1.8,6227.0
1289,2024,46090.0,RESIDENTIAL,126709.544,6382.400000000001,120328.344,0.0,22732.0,1072.0,22030.0,0.0,14453.0,12.5,38.8,860.0,23.0,5.8,6.5,1.2,1.8,6227.0
1290,2021,46300.0,RESIDENTIAL,104930.52,4271.4,100650.92,0.0,21574.0,842.0,20940.0,0.0,14879.0,490.0,40.7,848.0,25.3,7.0,8.8,1.3,1.6,6512.0
1291,2022,46300.0,RESIDENTIAL,117436.31999999999,6374.4,111007.92,0.0,23274.0,1230.0,22372.0,0.0,14953.0,492.4,41.1,848.0,25.3,7.0,8.8,1.3,1.6,6512.0
1292,2023,46300.0,RESIDENTIAL,129233.88,8900.6,120309.68,0.0,24832.0,1682.0,23524.0,0.0,15019.0,494.6,41.3,848.0,25.3,7.0,8.8,1.3,1.6,6512.0
1293,2024,46300.0,RESIDENTIAL,141208.84,11300.6,129901.24,0.0,26242.0,2082.0,24638.0,0.0,15037.0,495.2,41.5,848.0,25.3,7.0,8.8,1.3,1.6,6512.0
1294,2021,46450.0,RESIDENTIAL,136344.56,7273.0,129073.36,0.0,29270.0,1290.0,28268.0,0.0,17747.0,10.1,43.8,714.0,23.9,5.6,6.4,1.0,1.1,8129.0
1295,2022,46450.0,RESIDENTIAL,151387.3,9785.2,141603.9,0.0,31386.0,1718.0,30284.0,0.0,17616.0,10.0,44.3,714.0,23.9,5.6,6.4,1.0,1.1,8129.0
1296,2023,46450.0,RESIDENTIAL,161079.6,10821.2,150259.4,0.0,32656.0,1924.0,31394.0,0.0,17602.0,10.0,44.1,714.0,23.9,5.6,6.4,1.0,1.1,8129.0
1297,2024,46450.0,RESIDENTIAL,173313.602,12509.800000000001,160804.802,0.0,34176.0,2240.0,32700.0,0.0,17637.0,10.0,44.3,714.0,23.9,5.6,6.4,1.0,1.1,8129.0
1298,2021,46510.0,RESIDENTIAL,508171.328012,35484.4,472690.328012,0.0,107596.0,6498.0,102762.0,0.0,22487.0,2886.1,37.4,1240.0,13.9,9.4,26.0,4.0,10.4,9258.0
1299,2022,46510.0,RESIDENTIAL,615866.14,53110.6,562758.14,0.0,118456.0,9326.0,112470.0,0.0,22750.0,2919.8,37.5,1240.0,13.9,9.4,26.0,4.0,10.4,9258.0
1300,2023,46510.0,RESIDENTIAL,683082.4,61575.0,621512.6,0.0,126832.0,10900.0,119928.0,0.0,23154.0,2971.7,37.5,1240.0,13.9,9.4,26.0,4.0,10.4,9258.0
1301,2024,46510.0,RESIDENTIAL,773622.868,81408.6,692009.268,0.0,137342.0,13994.0,128270.0,0.0,23309.0,2991.6,37.6,1240.0,13.9,9.4,26.0,4.0,10.4,9258.0
1302,2021,46670.0,RESIDENTIAL,200237.3,5099.6,195109.5,27.599999999999998,36050.0,684.0,35612.0,6.0,10007.0,10.9,43.7,801.0,22.3,6.6,7.3,1.0,1.1,4288.0
1303,2022,46670.0,RESIDENTIAL,225174.142,8485.0,216660.942,27.599999999999998,39434.0,1210.0,38642.0,6.0,10036.0,11.0,43.4,801.0,22.3,6.6,7.3,1.0,1.1,4288.0
1304,2023,46670.0,RESIDENTIAL,243620.82200000001,10462.4,233132.822,27.599999999999998,41654.0,1568.0,40622.0,6.0,10110.0,11.0,43.4,801.0,22.3,6.6,7.3,1.0,1.1,4288.0
1305,2024,46670.0,RESIDENTIAL,269103.262,15709.199999999999,253368.062,27.599999999999998,44278.0,2206.0,42824.0,6.0,10173.0,11.1,43.3,801.0,22.3,6.6,7.3,1.0,1.1,4288.0
1306,2021,46860.0,RESIDENTIAL,75361.0,7118.4,68243.8,0.0,14036.0,938.0,13774.0,0.0,1568.0,1.4,52.0,869.0,24.3,8.2,9.8,2.2,1.9,1571.0
1307,2022,46860.0,RESIDENTIAL,85772.04,9686.4,76087.44,0.0,15220.0,1294.0,14966.0,0.0,1588.0,1.5,53.1,869.0,24.3,8.2,9.8,2.2,1.9,1571.0
1308,2023,46860.0,RESIDENTIAL,91847.24,10698.4,81150.04,0.0,15870.0,1446.0,15602.0,0.0,1602.0,1.5,53.5,869.0,24.3,8.2,9.8,2.2,1.9,1571.0
1309,2024,46860.0,RESIDENTIAL,98710.44,11778.8,86932.44,0.0,16666.0,1594.0,16316.0,0.0,1611.0,1.5,54.2,869.0,24.3,8.2,9.8,2.2,1.9,1571.0
1310,2021,47140.0,RESIDENTIAL,1408159.599996,83358.2,1324803.999996,0.0,318242.0,15514.0,307612.0,0.0,147521.0,922.9,36.5,827.0,21.6,7.3,10.4,1.2,3.5,55155.0
1311,2022,47140.0,RESIDENTIAL,1647235.13,133731.8,1513504.33,0.0,348580.0,24130.0,333868.0,8.0,147940.0,925.5,36.8,827.0,21.6,7.3,10.4,1.2,3.5,55155.0
1312,2023,47140.0,RESIDENTIAL,1857315.396,159260.2,1674067.796,24000.0,372744.0,28916.0,354770.0,12.0,149268.0,933.8,37.0,827.0,21.6,7.3,10.4,1.2,3.5,55155.0
1313,2024,47140.0,RESIDENTIAL,2087339.142,204844.0,1858506.342,24000.0,400858.0,36596.0,377666.0,12.0,150272.0,940.1,37.1,827.0,21.6,7.3,10.4,1.2,3.5,55155.0
1314,2021,47290.0,RESIDENTIAL,28846.58,953.6,27892.98,0.0,5892.0,142.0,5810.0,0.0,2026.0,0.4,44.8,866.0,21.2,7.0,9.2,0.7,1.3,982.0
1315,2022,47290.0,RESIDENTIAL,31951.36,1520.4,30430.96,0.0,6278.0,220.0,6174.0,0.0,2010.0,0.4,44.7,866.0,21.2,7.0,9.2,0.7,1.3,982.0
1316,2023,47290.0,RESIDENTIAL,34658.16,1822.4,32835.76,0.0,6584.0,274.0,6460.0,0.0,2013.0,0.4,43.8,866.0,21.2,7.0,9.2,0.7,1.3,982.0
1317,2024,47290.0,RESIDENTIAL,38271.56,2440.0,35831.56,0.0,7018.0,368.0,6854.0,0.0,2012.0,0.4,44.2,866.0,21.2,7.0,9.2,0.7,1.3,982.0
1318,2021,47490.0,RESIDENTIAL,56402.86,1579.6,54823.46,0.0,11054.0,324.0,10794.0,0.0,2241.0,0.4,46.5,759.0,24.3,6.8,9.5,1.3,0.5,1211.0
1319,2022,47490.0,RESIDENTIAL,61372.85,2452.2,58920.65,0.0,11784.0,496.0,11386.0,0.0,2257.0,0.4,47.2,759.0,24.3,6.8,9.5,1.3,0.5,1211.0
1320,2023,47490.0,RESIDENTIAL,66945.45,3580.6,63365.25,0.0,12470.0,690.0,11930.0,0.0,2277.0,0.4,47.2,759.0,24.3,6.8,9.5,1.3,0.5,1211.0
